message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,mute,business_update,Promotional messages from business accounts muted by user preference.,0.82,message_0101
msg_091,notify,personal,Personal direct message routed for immediate user notification.,0.82,message_0381
msg_090,notify,personal,Personal direct message routed for immediate user notification.,0.82,none
msg_048,digest,event,General group discussion batched for digest.,0.82,message_0152
msg_040,mute,event,Message received from a group chat muted by the user.,0.82,message_0135
msg_075,mute,business_update,Promotional messages from business accounts muted by user preference.,0.82,message_0205
msg_005,digest,event,General group discussion batched for digest.,0.82,message_0114
msg_104,notify,personal,Personal direct message routed for immediate user notification.,0.82,message_0115
msg_069,mute,event,Message received from a group chat muted by the user.,0.82,message_0193
msg_107,notify,personal,Personal direct message routed for immediate user notification.,0.82,message_0173
msg_070,digest,event,"Message arrived during user quiet hours, batched into digest.",0.82,message_0173
msg_003,mute,business_update,Promotional messages from business accounts muted by user preference.,0.82,message_0061
msg_099,notify,personal,Personal direct message routed for immediate user notification.,0.82,message_0249
msg_008,digest,business_update,"Message arrived during user quiet hours, batched into digest.",0.82,message_0072
msg_092,digest,business_update,Routine business notification queued for digest.,0.82,none
msg_060,digest,event,General group discussion batched for digest.,0.82,message_0176
msg_004,mute,business_update,Promotional messages from business accounts muted by user preference.,0.82,message_0005
msg_030,mute,event,Message received from a group chat muted by the user.,0.82,message_0115
msg_045,digest,event,General group discussion batched for digest.,0.82,message_0145
msg_052,mute,scam,Suspicious domain mismatch: sender domain 'talabat-refund.com' does not match official domain 'talabat.com'.,0.93,none
msg_009,mute,event,Message received from a group chat muted by the user.,0.82,message_0074
msg_071,digest,event,General group discussion batched for digest.,0.82,message_0198
msg_016,mute,scam,Fake urgency regarding account block/suspension.,0.91,none
msg_065,digest,business_update,Routine business notification queued for digest.,0.82,message_0261
msg_038,digest,event,General group discussion batched for digest.,0.82,message_0132
msg_086,mute,scam,Suspicious domain mismatch: sender domain 'link.wame.pro' does not match official domain 'thrillophilia.com'.,0.93,none
msg_014,mute,business_update,Promotional messages from business accounts muted by user preference.,0.82,message_0084
msg_094,digest,business_update,Routine business notification queued for digest.,0.82,none
msg_029,digest,event,General group discussion batched for digest.,0.82,message_0114
msg_105,notify,personal,Personal direct message routed for immediate user notification.,0.82,message_0233
msg_002,digest,event,General group discussion batched for digest.,0.82,message_0169
msg_010,mute,business_update,Promotional messages from business accounts muted by user preference.,0.82,message_0242
msg_078,mute,event,Message received from a group chat muted by the user.,0.82,message_0212
msg_013,digest,event,General group discussion batched for digest.,0.82,message_0082
msg_018,digest,event,General group discussion batched for digest.,0.82,message_0091
msg_044,digest,event,General group discussion batched for digest.,0.82,message_0143
msg_032,digest,event,General group discussion batched for digest.,0.82,message_0285
msg_106,notify,personal,Personal direct message routed for immediate user notification.,0.82,message_0234
msg_006,digest,event,General group discussion batched for digest.,0.82,message_0180
msg_109,digest,event,General group discussion batched for digest.,0.82,message_0152
msg_108,mute,scam,Suspicious domain mismatch: sender domain 'chase-secure-alert.com' does not match official domain 'chase.com'.,0.93,none
msg_019,mute,scam,Suspicious domain mismatch: sender domain 'chase-secure-alert.com' does not match official domain 'chase.com'.,0.93,none
msg_088,mute,event,Message received from a group chat muted by the user.,0.82,message_0115
msg_056,mute,event,Message received from a group chat muted by the user.,0.82,message_0167
msg_027,mute,scam,Suspicious domain mismatch: sender domain 'link.wame.pro' does not match official domain 'thrillophilia.com'.,0.93,none
msg_050,mute,business_update,Promotional messages from business accounts muted by user preference.,0.82,message_0156
msg_083,digest,event,General group discussion batched for digest.,0.82,message_0219
msg_063,digest,event,General group discussion batched for digest.,0.82,message_0182
msg_033,digest,event,General group discussion batched for digest.,0.82,message_0122
msg_061,mute,event,Message received from a group chat muted by the user.,0.82,message_0193
msg_020,digest,event,General group discussion batched for digest.,0.82,message_0096
msg_017,mute,event,Message received from a group chat muted by the user.,0.82,message_0089
msg_058,mute,event,Message received from a group chat muted by the user.,0.82,message_0040
msg_026,mute,scam,Suspicious domain mismatch: sender domain 'amazonpay-delivery.in' does not match official domain 'amazon.in'.,0.93,none
msg_047,digest,event,General group discussion batched for digest.,0.82,message_0149
msg_046,mute,scam,Request for sensitive credential/OTP.,0.91,none
msg_042,digest,event,General group discussion batched for digest.,0.82,message_0140
msg_079,digest,event,General group discussion batched for digest.,0.82,message_0173
msg_098,notify,personal,Personal direct message routed for immediate user notification.,0.82,message_0225
msg_037,digest,event,General group discussion batched for digest.,0.82,message_0180
msg_007,digest,event,General group discussion batched for digest.,0.82,message_0069
msg_085,mute,scam,Suspicious domain mismatch: sender domain 'hdfcbank-kyc.in' does not match official domain 'hdfc.bank.in'.,0.93,none
msg_001,digest,event,General group discussion batched for digest.,0.82,message_0240
msg_021,digest,event,General group discussion batched for digest.,0.82,message_0180
msg_028,mute,scam,Suspicious domain mismatch: sender domain 'link.wame.pro' does not match official domain 'thrillophilia.com'.,0.93,none
msg_012,digest,event,General group discussion batched for digest.,0.82,message_0079
msg_064,digest,event,General group discussion batched for digest.,0.82,message_0183
msg_103,notify,personal,Personal direct message routed for immediate user notification.,0.82,message_0114
msg_031,digest,event,General group discussion batched for digest.,0.82,message_0249
msg_057,digest,event,General group discussion batched for digest.,0.82,message_0169
msg_087,mute,event,Message received from a group chat muted by the user.,0.82,message_0203
msg_067,digest,event,General group discussion batched for digest.,0.82,message_0180
msg_039,digest,event,General group discussion batched for digest.,0.82,message_0134
msg_082,digest,event,General group discussion batched for digest.,0.82,message_0397
msg_066,mute,business_update,Promotional messages from business accounts muted by user preference.,0.82,message_0188
msg_049,digest,business_update,Routine business notification queued for digest.,0.82,message_0154
msg_015,mute,scam,Request for sensitive credential/OTP.,0.91,none
msg_051,mute,business_update,Promotional messages from business accounts muted by user preference.,0.82,message_0103
msg_097,notify,personal,Personal direct message routed for immediate user notification.,0.82,message_0225
msg_089,notify,personal,Personal direct message routed for immediate user notification.,0.82,none
msg_053,digest,event,General group discussion batched for digest.,0.82,message_0411
msg_059,digest,event,General group discussion batched for digest.,0.82,message_0173
msg_024,mute,business_update,Promotional messages from business accounts muted by user preference.,0.82,message_0103
msg_072,digest,event,General group discussion batched for digest.,0.82,message_0086
msg_036,mute,scam,Suspicious domain mismatch: sender domain 'razorpayx-payouts.com' does not match official domain 'razorpayx.com'.,0.93,none
msg_076,mute,scam,Suspicious domain mismatch: sender domain 'talabat-refund.com' does not match official domain 'talabat.com'.,0.93,none
